"names.deg.","deg","degree_centrality","closeness_centrality","eigenvector_centrality","betweenness_centrality"
"ABCB4",94,94,1.9205508742192e-09,0.0567875252492034,0
"ABCB6",127,127,1.9205508742192e-09,0.0767461969145795,0
"ABCB8",139,139,1.9205508742192e-09,0.0780401431309042,0
"ABCC1",101,101,1.9205508742192e-09,0.063802546868439,0
"ABCC11",49,49,1.9205508742192e-09,0.0295899346427039,0
"ABCC2",66,66,1.9205508742192e-09,0.0404633614817404,0
"ABCC3",78,78,1.9205508742192e-09,0.0495939490416668,0
"ABCC4",114,114,1.9205508742192e-09,0.0709844321962848,0
"ABCC5",122,122,1.9205508742192e-09,0.0739282358135016,0
"ABCD1",104,104,1.9205508742192e-09,0.0637909511812651,0
"ABCD3",127,127,1.9205508742192e-09,0.0749735773152834,0
"ABCD4",116,116,1.9205508742192e-09,0.0711051468586506,0
"ABCE1",121,121,1.9205508742192e-09,0.0747755771552761,0
"ABCF2",118,118,1.9205508742192e-09,0.0718110762865729,0
"ABCF3",116,116,1.9205508742192e-09,0.0725994520592109,0
"ABCG1",60,60,1.9205508742192e-09,0.037272815029663,0
"ABHD1",73,73,1.9205508742192e-09,0.0481955320172493,0
"ABHD10",107,107,1.9205508742192e-09,0.0680031169854045,0
"ABHD11",114,114,1.9205508742192e-09,0.070630963662204,0
"ABHD11-AS1",90,90,1.9205508742192e-09,0.0588807710393114,0
"ABHD12",115,115,1.9205508742192e-09,0.0716618634992907,0
"ABHD13",124,124,1.9205508742192e-09,0.0747331197314426,0
"ABHD14A",120,120,1.9205508742192e-09,0.0731193616299697,0
"ABHD14A-ACY1",117,117,1.9205508742192e-09,0.071938237979741,0
"ABHD14B",120,120,1.9205508742192e-09,0.0731193616299697,0
"ABHD17B",132,132,1.9205508742192e-09,0.0776267322239446,0
"ABHD2",126,126,1.9205508742192e-09,0.0751799284720556,0
"ABHD3",117,117,1.9205508742192e-09,0.0699857781963208,0
"ABHD4",100,100,1.9205508742192e-09,0.063634201232362,0
"ABHD5",127,127,1.9205508742192e-09,0.0756492801358181,0
"ABHD6",92,92,1.9205508742192e-09,0.0596802183451296,0
"ABHD8",105,105,1.9205508742192e-09,0.0652264999096534,0
"ABI1",122,122,1.9205508742192e-09,0.0748238585676727,0
"ABI2",116,116,1.9205508742192e-09,0.0706556550508197,0
"ABL1",106,106,1.9205508742192e-09,0.0660146996554872,0
"ABL2",82,82,1.9205508742192e-09,0.0530850071602108,0
"ABLIM1",48,48,1.9205508742192e-09,0.0306997392298779,0
"ABLIM2",84,84,1.9205508742192e-09,0.0547279889283441,0
"ABLIM3",83,83,1.9205508742192e-09,0.0549056788707127,0
"ABT1",139,139,1.9205508742192e-09,0.079396075787609,0
"ABTB2",124,124,1.9205508742192e-09,0.0748204978598102,0
"ACAA1",125,125,1.9205508742192e-09,0.0743140971343177,0
"ACAA2",111,111,1.9205508742192e-09,0.0700427423543626,0
"ACACA",115,115,1.9205508742192e-09,0.0713840723369885,0
"ACAD10",129,129,1.9205508742192e-09,0.0778641595590562,0
"ACAD11",123,123,1.9205508742192e-09,0.0741577162273869,0
"ACAD8",112,112,1.9205508742192e-09,0.0699351300384222,0
"ACAD9",124,124,1.9205508742192e-09,0.0746234764670991,0
"ACADM",124,124,1.9205508742192e-09,0.0745002927652313,0
"ACADS",90,90,1.9205508742192e-09,0.0587955766358402,0
"ACADSB",117,117,1.9205508742192e-09,0.0725506450247352,0
"ACADVL",114,114,1.9205508742192e-09,0.0699033380731488,0
"ACAP2",125,125,1.9205508742192e-09,0.0745915376533813,0
"ACAP3",124,124,1.9205508742192e-09,0.0732507901995118,0
"ACAT1",112,112,1.9205508742192e-09,0.0700181920078846,0
"ACAT2",126,126,1.9205508742192e-09,0.0750330487328954,0
"ACBD3",127,127,1.9205508742192e-09,0.0764178025948423,0
"ACBD4",106,106,1.9205508742192e-09,0.0668656179210745,0
"ACBD5",136,136,1.9205508742192e-09,0.0797296873821035,0
"ACBD6",135,135,1.9205508742192e-09,0.0782514265797691,0
"ACBD7",79,79,1.9205508742192e-09,0.0517612824350485,0
"ACCS",119,119,1.9205508742192e-09,0.072537256292051,0
"ACD",126,126,1.9205508742192e-09,0.0762878774649728,0
"ACE2",29,29,1.9205508742192e-09,0.0190068057102663,0
"ACER2",104,104,1.9205508742192e-09,0.0668606859761423,0
"ACER3",97,97,1.9205508742192e-09,0.0630609279700471,0
"ACIN1",117,117,1.9205508742192e-09,0.0712320902872754,0
"ACLY",119,119,1.9205508742192e-09,0.0727288284771898,0
"ACMSD",16,16,1.9205508742192e-09,0.0102125560892988,0
