"gene_name","meth_category"
"IL17RC","TSS200"
"IL18","TSS1500"
"IL19","TSS1500"
"IL1R2","TSS200"
"IL1RN","TSS200"
"IL21R","TSS1500"
"IL27","TSS1500"
"IL27","TSS200"
"IL2RA","TSS1500"
"INGX","TSS1500"
"IPCEF1","TSS1500"
"IPCEF1","TSS200"
"IPO7","TSS1500"
"IPO9","TSS1500"
"IQSEC2","TSS200"
"IRAK3","TSS1500"
"IRF5","TSS1500"
"IRF5","TSS200"
"IRF7","TSS1500"
"ITGAE","TSS1500"
"ITGAE","TSS200"
"ITGAM","TSS1500"
"ITGB1BP1","TSS1500"
"JAK3","TSS1500"
"JDP2","TSS1500"
"KATNAL1","TSS1500"
"KCNE1","TSS1500"
"KCNE3","TSS1500"
"KCNE3","TSS200"
"KCTD13","TSS1500"
"KDM2B","TSS1500"
"KDM6B","TSS1500"
"KIAA0922","TSS1500"
"KIAA1045","TSS1500"
"KIAA1614","TSS1500"
"KIFC1","TSS1500"
"KLC1","TSS1500"
"KPNA6","TSS1500"
"KRT17","TSS1500"
"KRT40","TSS1500"
"LAIR1","TSS1500"
"LAPTM5","TSS1500"
"LCLAT1","TSS1500"
"LCN2","TSS200"
"LDHA","TSS1500"
"LGALS12","TSS1500"
"LGALS12","TSS200"
"LGALS3","TSS1500"
"LIAS","TSS1500"
"LIMK2","TSS1500"
"LIPN","TSS1500"
"LITAF","TSS1500"
"LMO2","TSS1500"
"LMO4","TSS1500"
"LNX1","TSS1500"
"LOC100126784","TSS1500"
"LOC100128731","TSS1500"
"LOC100129354","TSS1500"
"LOC100130331","TSS200"
"LOC100130933","TSS200"
"LOC100131496","TSS1500"
"LOC100131496","TSS200"
"LOC100131551","TSS200"
"LOC100134868","TSS1500"
"LOC100189589","TSS200"
"LOC100270710","TSS1500"
"LOC100270710","TSS200"
"LOC100292680","TSS200"
"LOC100302650","TSS1500"
"LOC145814","TSS1500"
"LOC152225","TSS200"
"LOC158376","TSS1500"
"LOC283404","TSS200"
"LOC285629","TSS200"
"LOC285830","TSS1500"
"LOC285954","TSS1500"
"LOC286467","TSS1500"
"LOC404266","TSS1500"
"LOC404266","TSS200"
"LOC554203","TSS1500"
"LOC90834","TSS200"
"LPAR6","TSS200"
"LPIN1","TSS1500"
"LRG1","TSS200"
"LRRC16B","TSS1500"
"LRRC27","TSS1500"
"LRRFIP1","TSS1500"
"LSG1","TSS1500"
"LST1","TSS200"
"LTB4R2","TSS1500"
"LTBP1","TSS1500"
"LTBP1","TSS200"
"LTBR","TSS1500"
"LTC4S","TSS1500"
"LUZP1","TSS1500"
"LXN","TSS1500"
"LY6K","TSS200"
"LYL1","TSS1500"
"MAFG","TSS1500"
"MAFG","TSS200"
"MAGI2","TSS200"
"MAP4K4","TSS1500"
"MARCO","TSS200"
"MBNL3","TSS200"
"MBP","TSS1500"
"ME3","TSS1500"
"ME3","TSS200"
"MED31","TSS1500"
"MEF2B","TSS1500"
"MEST","TSS1500"
"MFAP4","TSS1500"
"MFSD1","TSS1500"
"MFSD2A","TSS1500"
"MGAT5","TSS1500"
"MGC12916","TSS1500"
"MGST1","TSS1500"
"MIB2","TSS1500"
"MIR10A","TSS1500"
"MIR10A","TSS200"
"MIR1203","TSS200"
"MIR1208","TSS200"
"MIR1227","TSS1500"
"MIR1247","TSS1500"
"MIR1276","TSS1500"
"MIR1284","TSS1500"
"MIR1304","TSS200"
"MIR140","TSS200"
"MIR143","TSS200"
"MIR145","TSS200"
"MIR148A","TSS200"
"MIR1537","TSS1500"
"MIR1537","TSS200"
"MIR193A","TSS200"
"MIR1976","TSS200"
"MIR200C","TSS1500"
"MIR219-1","TSS1500"
"MIR22","TSS1500"
"MIR22","TSS200"
"MIR223","TSS1500"
"MIR223","TSS200"
"MIR24-2","TSS200"
"MIR339","TSS1500"
"MIR505","TSS1500"
"MIR548C","TSS1500"
"MIR550-1","TSS1500"
"MIR550-2","TSS1500"
"MIR564","TSS1500"
"MIR612","TSS1500"
"MIR623","TSS1500"
"MIR626","TSS200"
"MIR645","TSS1500"
"MIR937","TSS1500"
"MLC1","TSS1500"
"MLKL","TSS1500"
"MLLT10","TSS1500"
"MMP14","TSS200"
"MMS19","TSS1500"
"MORC3","TSS1500"
"MOV10","TSS1500"
"MPEG1","TSS200"
"MPG","TSS1500"
"MPO","TSS200"
"MPZL1","TSS1500"
"MRO","TSS1500"
"MRPS23","TSS1500"
"MS4A3","TSS1500"
"MS4A3","TSS200"
"MS4A6A","TSS1500"
"MSRA","TSS1500"
"MSRB3","TSS1500"
"MT1L","TSS1500"
"MTMR9L","TSS1500"
"MTMR9L","TSS200"
"MTX1","TSS1500"
"MUM1","TSS1500"
"MUTYH","TSS1500"
"MVD","TSS1500"
"MYH10","TSS1500"
"MYO5C","TSS1500"
"NANOG","TSS1500"
"NARF","TSS1500"
"NCK2","TSS1500"
"NCOA4","TSS1500"
"NCOR2","TSS200"
"NCR1","TSS1500"
"NCRNA00114","TSS200"
"NDRG1","TSS1500"
"NDST1","TSS200"
"NDUFAF3","TSS1500"
"NDUFS2","TSS1500"
